ResponseId	Resp_age	Relationship_lenght_month	Cohabitation_lenght_month	Long_term_relationship_yes_no	Grew_up_with_biol_and_nonbiol_yes_no	Grew_up_with_only_one_nonbiol	Biol_in_one_household_after_divorce_yes_no	Biol_in_one_household_after_divorce_yes_no_lenth	Resp_occupation	Resp_sexual_orientation	Grew_up_from_biol	Grew_up_till_biol	Biol_residence	Biol_education	Biol_religion	Biol_policy	Biol_wealth	Biol_profession	Biol_height	Biol_weight	Biol_attractiveness	Biol_masculinity	Biol_eye_colour	Biol_eye_colour_dark_light	Biol_hair_colour	Biol_hair_colour_natural_yes_no	Biol_hair_colour_natural	Biol_facial_masculinity	Biol_beard	Biol_muscularity	Biol_BMI	Biol_relative_height	Biol_body_hair	Biol_Extraversion	Biol_Agreebleness	Biol_Conscientiousness	Biol_Emotional_stability	Biol_Oppeness	Biol_IPIP	Biol_EMBU_rejection	Biol_EMBU_emotional_warmth	Biol_EMBU_overprotection	Nonbiol_EMBU_rejection	Nonbiol_EMBU_emotional_warmth	Nonbiol_EMBU_overprotection	Biol_relationship_quality	Mother_relationship_quality	Part_residence	Part_education	Part_religion	Part_policy	Part_wealth	Part_occupation	Part_profession	Part_height	Part_weight	Part_attractiveness	Part_masculinity	Part_eye_colour	Part_eye_colour_dark_light	Part_hair_colour	Part_hair_colour_natural_yes_no	Part_hair_colour_natural	Part_facial_masculinity	Part_beard	Part_muscularity	Part_BMI	Part_relative_height	Part_body_hair	Part_Extraversion	Part_Agreebleness	Part_Conscientiousness	Part_Emotional_stability	Part_Oppeness	Part_IPIP		Remember_biol_yes_no	Grew_up_from_biol	Grew_up_till_biol	Meeting_biol_after_divorce	Remember_nonbiol_yes_no	Grew_up_from_nonbiol	Grew_up_till_nonbiol	Who_is_considered_as_father_biol_nonbiol	Nonbiol_residence	Nonbiol_education	Nonbiol_religion	Nonbiol_policy	Nonbiol_wealth	Nonbiol_profession	Nonbiol_height	Nonbiol_weight	Nonbiol_attractiveness	Nonbiol_masculinity	Nonbiol_eye_colour	Nonbiol_eye_colour_dark_light	Nonbiol_hair_colour	Nonbiol_hair_colour_natural_yes_no	Nonbiol_hair_colour_natural	Nonbiol_facial_masculinity	Nonbiol_beard	Nonbiol_muscularity	Nonbiol_BMI	Nonbiol_relative_height	Nonbiol_body_hair	Nonbiol_Extraversion	Nonbiol_Agreebleness	Nonbiol_Conscientiousness	Nonbiol_Emotional_stability	Nonbiol_Oppeness	Nonbiol_IPIP	Mother_relationship_quality	Biol_relationship_quality_before_divorce	Biol_relationship_quality_after_divorce	Nonbiol_relationship_quality
R_54EQHMNIHJY1kgJ	27	NA	NA	1	1	1	2	NA	3	1	NA	NA	3	3	7	9	3	5	190	85	7	6	1	1	1	1	NA	2	4	4	3	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		1	0	5	8	1	6	18	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_eRNMZty9RoDSttX	23	40	28	1	NA	NA	NA	NA	1	2	0	18	7	7	1	5	2	3	172	75	5	5	4	2	1	1	NA	3	1	5	4	4	5	10	5	12	9	10	49	13	16	18	NA	NA	NA	17	19	1	6	1	5	3	3	2	187	95	6	6	3	2	2	1	NA	3	3	6	3	2	4	8	11	12	11	9	46		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_esuebHdUFBGpIkR	28	NA	NA	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_8oZzqzNZD6hUsoB	30	56	50	1	NA	NA	NA	NA	2	1	0	19	5	3	5	3	3	5	178	85	4	3	4	2	3	1	NA	4	4	4	4	4	1	8	6	5	4	8	47	9	14	10	NA	NA	NA	6	20	2	7	5	5	4	NA	4	193	80	6	6	4	1	5	1	NA	2	2	5	1	3	2	5	10	11	11	8	47		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_9t7ANVZNgz1VDG5	31	6	0	1	NA	NA	NA	NA	2	1	0	19	3	7	5	2	3	5	173	80	4	5	2	2	2	1	NA	3	3	4	5	3	1	8	11	9	11	11	35	8	16	14	NA	NA	NA	10	15	5	7	7	6	3	2	6	185	80	6	6	3	2	3	1	NA	2	1	5	3	1	2	11	12	9	9	12	29		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_8GrztVXK3Ehfxyt	33	150	148	1	NA	NA	NA	NA	2	2	0	18	6	7	4	5	2	3	171	80	5	6	2	1	2	1	NA	3	1	5	5	3	3	14	9	10	7	12	37	10	22	17	NA	NA	NA	20	20	6	6	1	5	2	2	2	188	84	6	6	4	2	2	1	NA	2	2	5	3	2	5	6	12	14	11	8	30		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_cvUMATEe8Gmp7Ip	22	NA	NA	2	NA	NA	NA	NA	4	2	0	17	7	2	5	9	3	5	185	70	6	6	2	2	3	1	NA	1	2	5	3	1	3	8	6	7	7	7	56	11	6	12	NA	NA	NA	9	21	6	3	5	9	3	2	6	196	90	6	6	3	1	8	1	NA	2	1	5	3	1	2	14	10	11	9	14	66		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_1BQADfHzuhL7iyp	23	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_3xvUJrHabn21e8l	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_baajLhl9GggvvUx	40	180	175	1	NA	NA	NA	NA	2	1	0	25	2	1	5	9	3	5	176	83	4	5	4	2	3	1	NA	3	2	4	5	4	1	12	9	8	11	11	52	8	16	13	NA	NA	NA	15	19	2	2	5	8	4	4	5	185	91	5	5	4	2	2	1	NA	2	2	4	4	1	2	11	12	11	12	10	40		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_6KbNLuKuTbSgaZ7	24	43	24	1	NA	NA	NA	NA	3	1	0	21	2	7	5	9	3	5	178	80	6	5	5	2	3	1	NA	3	1	4	3	3	2	10	13	14	10	10	26	8	19	18	NA	NA	NA	21	21	2	6	5	6	3	3	3	182	80	6	5	5	2	3	1	NA	3	2	3	2	1	1	14	14	14	11	10	30		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_7VvieF3BRfZxYrj	29	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_a5BUgcj8hPu6ii1	25	NA	NA	2	NA	NA	NA	NA	3	2	0	23	1	3	5	5	2	5	195	90	5	5	4	2	3	1	NA	3	1	4	4	3	2	4	11	12	12	8	28	9	14	15	NA	NA	NA	21	21	1	3	5	6	2	2	5	190	90	4	5	2	1	2	1	NA	3	2	5	3	4	5	13	9	4	12	6	58		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_eVZNqbu9tVqaEvz	35	NA	NA	1	NA	NA	NA	NA	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_3rNRDlXwcNDaMyV	31	NA	NA	1	NA	NA	NA	NA	2	1	0	19	1	3	5	3	3	2	175	83	5	5	5	2	3	1	NA	2	1	4	4	3	2	4	8	14	13	6	31	8	15	17	NA	NA	NA	13	20	1	2	5	8	2	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_cMIkE3TCJ2NnlLD	44	216	200	1	NA	NA	NA	NA	2	2	0	27	1	8	5	9	4	4	176	78	6	5	5	2	7	1	NA	3	1	4	5	4	4	12	6	8	6	11	53	14	11	12	NA	NA	NA	8	21	1	3	1	9	4	2	5	183	79	5	5	2	1	3	1	NA	3	1	4	2	2	2	8	12	9	6	11	28		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_801HGAvSfyX2VG5	46	78	73	1	NA	NA	NA	NA	3	1	0	22	6	7	7	9	3	2	175	80	5	6	4	2	2	1	NA	2	3	6	2	6	NA	14	12	8	10	10	31	8	14	15	NA	NA	NA	13	13	2	7	4	3	2	2	1	170	68	5	6	4	2	3	2	NA	2	2	4	1	5	3	13	8	12	5	12	66		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_6AmbCfcPAFrVfrD	29	92	60	1	NA	NA	NA	NA	4	1	0	23	4	3	7	9	3	3	186	85	7	6	2	1	2	1	NA	2	3	4	3	5	2	14	14	8	12	14	44	7	21	21	NA	NA	NA	20	19	7	7	1	9	2	2	3	186	85	7	6	2	1	1	1	NA	2	2	5	5	4	2	14	12	14	14	13	23		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_6LnPNrRwUckJp65	24	60	13	1	NA	NA	NA	NA	1	1	0	24	8	3	5	8	3	5	187	96	6	6	2	1	1	1	NA	2	1	5	4	1	3	14	14	13	13	14	21	7	23	11	NA	NA	NA	19	19	2	7	5	6	2	1	4	183	96	4	4	2	1	1	1	NA	3	2	1	5	4	2	11	10	14	14	10	60		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_51pmD4mQJke2Zff	20	11	0	1	NA	NA	NA	NA	1	1	0	20	1	7	1	3	2	2	177	90	4	6	5	2	3	1	NA	3	4	5	4	4	3	13	6	12	9	10	50	10	24	18	NA	NA	NA	21	21	1	3	7	4	2	NA	3	180	73	6	6	4	2	2	1	NA	3	1	5	2	3	2	9	10	11	11	11	40		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_9SIJeX23Fzwi8Kx	25	NA	NA	2	NA	NA	NA	NA	2	5	0	18	4	7	1	5	3	5	175	88	5	6	3	1	2	1	NA	3	1	5	4	2	2	13	8	10	8	9	50	8	19	21	NA	NA	NA	20	20	3	7	1	4	3	2	2	180	77	6	5	2	2	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_8HNrxaAaxVwMZrn	22	NA	NA	1	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_cDbN0Z0Decgmepv	24	NA	NA	2	NA	NA	NA	NA	1	1	0	24	6	7	5	9	3	3	190	100	6	6	4	2	3	1	NA	3	1	5	3	1	3	14	7	3	4	11	55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_cGzBV5qBg2Hzy3r	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_1RB9pXUP9VpvwTH	29	12	6	1	NA	NA	NA	NA	4	3	0	24	2	7	1	9	3	4	184	100	6	5	2	1	2	1	NA	3	4	5	5	4	5	13	11	8	12	11	42	7	16	11	NA	NA	NA	17	18	2	7	1	4	3	2	6	176	68	5	5	3	2	3	1	NA	4	2	4	2	4	1	7	12	8	8	10	27		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_3VMHcSPa92IjIdT	34	189	177	1	1	1	2	NA	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	14	11	NA	NA	7	7	7	7	2	2	4	187	103	5	5	2	2	2	1	NA	3	1	5	5	2	2	8	12	14	13	14	24		2	NA	NA	8	1	7	22	2	8	2	5	2	3	5	182	100	5	5	2	2	2	1	NA	3	1	5	5	3	3	13	14	6	13	11	27	17	3	3	15
R_7WjfF2CrdxX0enr	36	NA	NA	2	1	1	2	NA	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	11	23	NA	NA	2	2	5	4	3	2	5	180	78	3	4	2	1	3	1	NA	2	1	2	2	5	1	6	11	13	9	7	27		2	NA	NA	8	1	0	36	2	5	2	5	6	4	5	175	92	2	6	2	2	1	1	NA	4	1	6	5	4	NA	11	6	12	6	7	42	14	NA	NA	14
R_3PCvrrir5K01MTH	22	NA	NA	1	NA	NA	NA	NA	4	2	0	22	2	3	5	5	4	5	180	80	4	6	2	1	1	1	NA	3	4	4	4	2	3	7	10	6	12	5	36	14	10	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_0kznUSz9yzPWt7f	41	282	252	1	NA	NA	NA	NA	2	1	0	20	2	7	4	5	4	5	191	90	5	6	5	1	2	1	NA	3	1	5	4	1	2	5	6	14	14	7	48	8	18	17	NA	NA	NA	17	19	2	7	4	5	2	2	5	172	73	5	6	2	1	2	1	NA	3	4	5	4	6	4	11	10	13	13	10	37		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_1FCq2bgUimBSvKR	23	7	0	1	NA	NA	NA	NA	1	2	0	20	1	6	5	9	3	5	195	90	5	6	5	2	1	1	NA	2	1	5	5	2	4	9	9	10	11	5	56	16	6	18	NA	NA	NA	12	12	2	1	5	9	1	2	1	180	90	3	2	3	1	2	1	NA	4	1	3	5	3	5	9	11	11	5	11	57		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_79w1e7iOE3mhrSZ	50	360	353	1	NA	NA	NA	NA	2	1	0	17	2	7	5	5	3	4	189	88	7	6	2	1	1	1	NA	2	4	5	2	2	5	8	14	14	12	12	39	7	20	14	NA	NA	NA	18	18	2	4	5	5	3	2	5	175	90	2	2	4	2	6	1	NA	4	1	4	6	5	2	5	12	11	12	8	21		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_3sFSa0Udm9WILT7	29	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_8cA9HiJQsFitr6Z	26	NA	NA	1	NA	NA	NA	NA	4	2	0	21	6	2	7	2	2	5	186	90	5	6	3	1	2	1	NA	2	1	2	2	2	3	8	9	10	8	8	62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_9LlK9mkT10PsIeh	40	186	180	1	NA	NA	NA	NA	2	1	0	17	2	7	4	6	3	5	183	97	5	5	5	1	2	1	NA	2	1	5	4	2	3	8	6	10	11	5	61	14	11	14	NA	NA	NA	14	17	8	3	1	6	2	2	3	192	101	6	5	4	1	3	1	NA	1	2	5	3	2	1	13	13	6	10	13	53		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_6EhoITvdlwt47Qh	40	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_0AmaZky45xNs1Rb	26	NA	NA	1	NA	NA	NA	NA	2	1	0	26	8	2	1	8	3	5	185	80	4	5	2	1	2	1	NA	2	1	3	2	2	3	10	6	13	8	8	32	8	18	16	NA	NA	NA	NA	18	8	3	1	8	3	2	4	185	80	4	5	5	2	6	1	NA	2	1	5	3	3	1	14	14	11	14	14	21		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_8jkvMiQOZ9tju5L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_5AXzGLyg0IfqT2Z	29	NA	NA	2	NA	NA	NA	NA	NA	2	0	19	5	7	5	6	3	2	170	85	5	5	4	2	5	1	NA	3	2	5	2	4	1	11	11	12	9	9	35	8	18	13	NA	NA	NA	12	16	1	7	5	4	1	2	3	175	90	3	5	2	1	3	1	NA	4	2	5	4	3	3	10	11	11	5	13	51		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_cBZJsYlSEcaen4N	21	NA	NA	1	NA	NA	NA	NA	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R_1zw3kryvKrPLAKF	31	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
